year,px,py,tachid,ekid
1999,139.3786679,35.66555063,5.297282389,0.743731643
2000,139.3786679,35.66555063,5.297282389,0.743731643
2001,139.3786679,35.66555063,5.297282389,0.743731643
2002,139.3786679,35.66555063,5.297282389,0.743731643
2003,139.3786679,35.66555063,5.297282389,0.743731643
2004,139.3786679,35.66555063,5.297282389,0.743731643
2005,139.3786679,35.66555063,5.297282389,0.743731643
2006,139.3786679,35.66555063,5.297282389,0.743731643
2007,139.3786679,35.66555063,5.297282389,0.743731643
2008,139.3786679,35.66555063,5.297282389,0.743731643
1999,139.3786679,35.66947661,5.012000512,1.153718344
2000,139.3786679,35.66947661,5.012000512,1.153718344
2001,139.3786679,35.66947661,5.012000512,1.153718344
2002,139.3786679,35.66947661,5.012000512,1.153718344
2003,139.3786679,35.66947661,5.012000512,1.153718344
2004,139.3786679,35.66947661,5.012000512,1.153718344
2005,139.3786679,35.66947661,5.012000512,1.153718344
2006,139.3786679,35.66947661,5.012000512,1.153718344
2007,139.3786679,35.66947661,5.012000512,1.153718344
2008,139.3786679,35.66947661,5.012000512,1.153718344
1999,139.3786679,35.67340258,4.749622282,1.577596128
2000,139.3786679,35.67340258,4.749622282,1.577596128
2001,139.3786679,35.67340258,4.749622282,1.577596128
2002,139.3786679,35.67340258,4.749622282,1.577596128
2003,139.3786679,35.67340258,4.749622282,1.577596128
2004,139.3786679,35.67340258,4.749622282,1.577596128
2005,139.3786679,35.67340258,4.749622282,1.577596128
2006,139.3786679,35.67340258,4.749622282,1.577596128
2007,139.3786679,35.67340258,4.749622282,1.577596128
2008,139.3786679,35.67340258,4.749622282,1.577596128
1999,139.3786679,35.67732856,4.514143195,1.475569841
2000,139.3786679,35.67732856,4.514143195,1.475569841
2001,139.3786679,35.67732856,4.514143195,1.475569841
2002,139.3786679,35.67732856,4.514143195,1.475569841
2003,139.3786679,35.67732856,4.514143195,1.475569841
2004,139.3786679,35.67732856,4.514143195,1.475569841
2005,139.3786679,35.67732856,4.514143195,1.475569841
2006,139.3786679,35.67732856,4.514143195,1.475569841
2007,139.3786679,35.67732856,4.514143195,1.475569841
2008,139.3786679,35.67732856,4.514143195,1.475569841
1999,139.3786679,35.68125454,4.30997448,1.241517177
2000,139.3786679,35.68125454,4.30997448,1.241517177
2001,139.3786679,35.68125454,4.30997448,1.241517177
2002,139.3786679,35.68125454,4.30997448,1.241517177
2003,139.3786679,35.68125454,4.30997448,1.241517177
2004,139.3786679,35.68125454,4.30997448,1.241517177
2005,139.3786679,35.68125454,4.30997448,1.241517177
2006,139.3786679,35.68125454,4.30997448,1.241517177
2007,139.3786679,35.68125454,4.30997448,1.241517177
2008,139.3786679,35.68125454,4.30997448,1.241517177
1999,139.3786679,35.68518051,4.141749089,1.133683251
2000,139.3786679,35.68518051,4.141749089,1.133683251
2001,139.3786679,35.68518051,4.141749089,1.133683251
2002,139.3786679,35.68518051,4.141749089,1.133683251
2003,139.3786679,35.68518051,4.141749089,1.133683251
2004,139.3786679,35.68518051,4.141749089,1.133683251
2005,139.3786679,35.68518051,4.141749089,1.133683251
2006,139.3786679,35.68518051,4.141749089,1.133683251
